time;moscow;s-peterburg;novosibirsk;ekaterenburg;kazan;volgograd;habarovsk
20230421;107697;82835;36805;27435;19776;10495;3523
20230422;106972;82630;29208;27348;19588;10326;3514
20230422;106410;82619;36248;27309;19581;10407;3511
20230423;106237;81586;28961;27201;19472;10228;3473
20230423;106206;81574;28972;27225;19471;10205;3476
20230423;106218;81574;28969;27223;19467;10204;3474
20230423;106280;81536;28969;27216;19465;10193;3475
20230423;106282;81513;28969;27212;19459;10192;3476
20230423;106191;81265;28954;27209;19461;10193;3477
20230424;104711;81200;35878;27296;19439;10168;3513
20230424;105642;83482;35181;25668;19742;10426;3542
20230425;106617;83761;35271;25528;17291;10439;3550
20230426;106814;83970;36536;25613;19858;4224;3528
20230502;103314;83971;35837;27914;20638;10257;3517
20230502;104149;83655;35832;27356;20646;10268;3518
20230502;106425;84815;28969;27413;20757;10359;3528
20230502;106497;84799;29065;27413;20756;10361;3529
20230503;105649;84475;35732;27316;19750;10363;3526
20230503;106476;84305;35842;27335;20793;10367;3533
20230503;105956;84429;35871;27310;21093;10341;2149
20230514;105473;83771;29888;26458;20451;9898;3415
20230514;105408;83755;29892;26393;20448;10007;3414
20230514;105419;83749;29889;26399;20450;10012;3400
20230515;105149;82208;36913;26816;19089;10218;3448
20230516;108936;83457;37105;26770;19300;10304;3470
20230522;106951;82785;330681;327198;19090;10559;3571
20230522;107022;82768;30681;27196;19108;10561;3571
20230522;107077;82773;35631;27200;19108;10567;3571
20230522;107000;82774;37662;27200;19112;10564;3571
20230524;107866;82882;39166;27619;20829;10199;3631
20230524;107537;83311;39267;27233;20847;10499;3623
20230528;104072;81648;30930;24507;20391;10624;3552
20230528;104774;79823;30920;18881;20373;10628;3556
20230529;103511;81177;39882;26604;20409;10695;3622
20230530;101068;83514;39131;25464;21093;10763;3691
20230530;101587;83585;39122;25499;21095;10758;3687
20230605;105034;80642;38726;27461;20272;10864;3657
20230609;107768;83968;38088;28657;20388;10930;3683
20230627;99179;79629;41633;28536;18326;10388;3556
20230706;103553;79185;41959;16023;17656;9915;3736
20230721;82234;77346;null;27693;17727;10228;3555
20230727;76179;74573;37342;28155;18101;10255;3497
20230727;76395;74328;39672;28082;18121;10309;3491
20240105;94626;71882;null;22739;13396;9591;2986
20240112;93088;74645;null;23879;13509;9689;2175
20240115;93834;74566;32636;23268;13675;9736;3105
20240116;94924;75840;32649;23514;null;9805;3184
20240119;99267;74268;7928;24635;14969;7563;3529
20240124;99186;72877;38799;null;15204;10522;3693
20240125;99233;73631;38513;24858;null;10474;4336
20240126;96481;71173;33170;22934;null;10349;4341
20240130;90264;74268;37502;null;15490;10590;4254
20240201;99905;76854;37972;26115;null;10772;4299
20240208;101453;80105;37867;25903;null;10929;null
20240213;101615;75790;35426;26939;17007;null;null
20240213;103664;75999;35970;26969;17008;null;null
20240302;101518;78183;39428;27127;null;null;null
20240306;101992;78787;37964;28259;null;null;null
20240317;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null
20240317;null;null;null;null;null;null;null
20240317;100759;78186;23314;27563;null;null;null
