date;js;php;python;java;c
20240113;1218;434;642;1343;348
20240115;1013;420;585;1196;306
20240116;1060;424;629;1264;312
20240119;1154;399;722;1330;370
20240124;1143;419;756;1347;328
20240125;1174;394;773;1372;333
20240126;1216;400;817;1418;328
20240130;1252;389;829;1431;355
20240201;1333;385;908;1543;399
20240208;1370;432;878;1552;392
20240213;1337;406;863;1472;341
20240213;1381;406;865;1475;352
20240302;1273;401;665;1146;301
20240306;1320;3871000018000513000150002426000100001015000220004500600041800025000351800024000121001820032006080316000210005416000220003600090003312000150001500018000130001800021000015000415000180003130001600014000180004152350030200522000270001000015000180001000010000160007170002200010235006000538000150001018000240003500085004800017000249514000220003140002000017200275004140002000091500020000120000300001000013000100001300025500850015000250004120001800091000014000918500235002915000175004120001800099216000250009800010000900013000800012000284001428023121040018000340007000135004000913000170009120001500091000019000102050026000213000170004470001400020000300004231000020000547000150001000015000480008500420500225004449000170005800012000669000120008;700;1103;316
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240419;1039;3782140002300010000160001840004700970001400093200608021400018000183000420094511500025000184002300042016031920212100182009910000160003218402856023500500053000037000800015000915120001500016000200004140002500011000130003230002800034500600018000100001700022000521850023500210000120009200003000041750020100390001600010230002600012000170009150002000041200014000421800024000920000300001260020580411800024000310000120005172502100048400142802513000200001168002604045000850041500020000111140206909000130008235003020048000100006000800031400022000140002200080001600053100001300055008500410000150004412000160004055061140001800041700090004410010000150004480001600044800014000432200027000444420000250005217000230006190002800062100001500077160002260072140001800077717502500790001700085000850014;682;960;341
