time;moscow;s-peterburg;novosibirsk;ekaterenburg;kazan;volgograd;habarovsk
20230421;107697;82835;36805;27435;19776;10495;3523
20230422;106972;82630;29208;27348;19588;10326;3514
20230422;106410;82619;36248;27309;19581;10407;3511
20230423;106237;81586;28961;27201;19472;10228;3473
20230423;106206;81574;28972;27225;19471;10205;3476
20230423;106218;81574;28969;27223;19467;10204;3474
20230423;106280;81536;28969;27216;19465;10193;3475
20230423;106282;81513;28969;27212;19459;10192;3476
20230423;106191;81265;28954;27209;19461;10193;3477
20230424;104711;81200;35878;27296;19439;10168;3513
20230424;105642;83482;35181;25668;19742;10426;3542
20230425;106617;83761;35271;25528;17291;10439;3550
20230425;105207;83531;34941;25343;19760;10447;3508
20230425;105627;83632;34319;25371;19762;9316;3515
20230425;105917;83629;34148;25444;19761;10447;3522
20230425;106037;82381;33155;25448;19753;10430;3522
20230425;105992;83434;32237;25467;19773;10422;3457
20230426;106439;83952;36536;25609;19855;4204;3526
